Organization Owner	組織オーナー
Project Admin	プロジェクト管理者
Cluster Details	クラスターの詳細
Bucket Name	バケット名
Auto-scaling	オートスケーリング
Cloud Provider	クラウドプロバイダー
Data Plane	データプレーン
Business Critical	ビジネスクリティカル
Organization Billing Admin	組織の請求管理者
Resource Settings	リソース設定
Initial Project Size	初期プロジェクトサイズ
General Settings	一般設定
Technical Support Access	テクニカルサポートアクセス
Unit Price	単価
Cluster Settings	クラスター設定
Cluster Type	クラスタータイプ
API Key	APIキー
inverted index	転置インデックス
Cosine Similarity	コサイン類似度
Euclidean Distance	ユークリッド距離
Inner Product	内積
MinHash signatures	MinHashシグネチャ
Tokenizer	トークナイザー
Filters	フィルター
JSON path	JSONパス
JSON indexing	JSONインデックス
full-text search	全文検索
Improved Query Performance	クエリパフォーマンスの向上
Primary field	プライマリフィールド
Text field	テキストフィールド
Sparse vector field	スパースベクトルフィールド
sparse vectors	疎ベクトル
Projects	プロジェクト
Partition Key	パーティションキー
Billing Overview	請求概要
API Keys	APIキー
not supported	サポートされていません
In Progress	進行中
Successful	成功
Organization Member	組織メンバー
Account ID	アカウントID
Organization Owners	組織オーナー
Bucket name	バケット名
Policy editor	ポリシーエディター
Custom trust policy	カスタム信頼ポリシー
Permissions policies	権限ポリシー
Name, review, and create	名前を付けて確認し、作成
Service Name	サービス名
Service Account Name	サービスアカウント名
Location type	ロケーションタイプ
Project Read-Write	プロジェクト読み書き
Project Read-Only	プロジェクト読み取り専用
Control Plane	コントロールプレーン
Subnet IDs	サブネットID
Subnets	サブネット
Endpoint ID	エンドポイントID
Subnet	サブネット
Published service	公開済みサービス
VPC Name	VPC名
Storage settings	ストレージ設定
Project Name	プロジェクト名
Credential Settings	認証情報設定
Cross-Account Settings	クロスアカウント設定
Network Settings	ネットワーク設定
Deployment Summary	デプロイ概要
project admin	プロジェクト管理者
organization owner	組織オーナー
custom role	カスタムロール
Excluded from backup	バックアップから除外
Cluster shard settings	クラスターシャード設定
Original Backup File Size	元のバックアップファイルサイズ
manually create backups	手動でバックアップを作成する
automatic backups	自動バックアップ
Integration Configuration	統合設定
Manual backups	手動バックアップ
Automatic backups	自動バックアップ
new cluster	新しいクラスター
entire cluster	クラスター全体
disabled by default	デフォルトで無効
Cluster Name	クラスター名
